name,symbol,exchange,currency,price
셀트리온,068270.KS,KOSPI,KRW,-
쿠쿠홈시스,284740.KS,KOSPI,KRW,-
SK케미칼,285130.KS,KOSPI,KRW,-
BGF리테일,282330.KS,KOSPI,KRW,-
DYP,092780.KS,KOSPI,KRW,-
진에어,272450.KS,KOSPI,KRW,-
케이씨텍,281820.KS,KOSPI,KRW,-
삼양패키징,272550.KS,KOSPI,KRW,-
테이팩스,055490.KS,KOSPI,KRW,-
롯데웰푸드,280360.KS,KOSPI,KRW,-
제일약품,271980.KS,KOSPI,KRW,-
카카오,035720.KS,KOSPI,KRW,-
오리온,271560.KS,KOSPI,KRW,-
미원에스씨,268280.KS,KOSPI,KRW,-
경동도시가스,267290.KS,KOSPI,KRW,-
넷마블,251270.KS,KOSPI,KRW,-
HD건설기계,267270.KS,KOSPI,KRW,-
HD현대,267250.KS,KOSPI,KRW,-
HD현대일렉트릭,267260.KS,KOSPI,KRW,-
크라운제과,264900.KS,KOSPI,KRW,-
덴티움,145720.KS,KOSPI,KRW,-
호전실업,111110.KS,KOSPI,KRW,-
핸즈코퍼레이션,143210.KS,KOSPI,KRW,-
두산밥캣,241560.KS,KOSPI,KRW,-
삼성바이오로직스,207940.KS,KOSPI,KRW,-
JW생명과학,234080.KS,KOSPI,KRW,-
화승엔터프라이즈,241590.KS,KOSPI,KRW,-
LS에코에너지,229640.KS,KOSPI,KRW,-
스타에스엠리츠,204210.KS,KOSPI,KRW,-
일동제약,249420.KS,KOSPI,KRW,-
샘표식품,248170.KS,KOSPI,KRW,-
두올,016740.KS,KOSPI,KRW,-
동서,026960.KS,KOSPI,KRW,-
한국자산신탁,123890.KS,KOSPI,KRW,-
한국토지신탁,034830.KS,KOSPI,KRW,-
해성디에스,195870.KS,KOSPI,KRW,-
모나용평,070960.KS,KOSPI,KRW,-
해태제과식품,101530.KS,KOSPI,KRW,-
삼일씨엔에스,004440.KS,KOSPI,KRW,-
제이에스코퍼레이션,194370.KS,KOSPI,KRW,-
잇츠한불,226320.KS,KOSPI,KRW,-
세진중공업,075580.KS,KOSPI,KRW,-
금호에이치티,214330.KS,KOSPI,KRW,-
제주항공,089590.KS,KOSPI,KRW,-
현대코퍼레이션홀딩스,227840.KS,KOSPI,KRW,-
LIG넥스원,079550.KS,KOSPI,KRW,-
HDC랩스,039570.KS,KOSPI,KRW,-
동일제강,002690.KS,KOSPI,KRW,-
AJ네트웍스,095570.KS,KOSPI,KRW,-
이노션,214320.KS,KOSPI,KRW,-
토니모리,214420.KS,KOSPI,KRW,-
미래에셋생명,085620.KS,KOSPI,KRW,-
경보제약,214390.KS,KOSPI,KRW,-
SK디앤디,210980.KS,KOSPI,KRW,-
다이나믹디자인,145210.KS,KOSPI,KRW,-
한솔제지,213500.KS,KOSPI,KRW,-
디와이파워,210540.KS,KOSPI,KRW,-
삼성물산,028260.KS,KOSPI,KRW,-
씨에스윈드,112610.KS,KOSPI,KRW,-
삼성에스디에스,018260.KS,KOSPI,KRW,-
HL만도,204320.KS,KOSPI,KRW,-
서연이화,200880.KS,KOSPI,KRW,-
쿠쿠홀딩스,192400.KS,KOSPI,KRW,-
화인베스틸,133820.KS,KOSPI,KRW,-
BGF,027410.KS,KOSPI,KRW,-
코스맥스,192820.KS,KOSPI,KRW,-
종근당,185750.KS,KOSPI,KRW,-
신송홀딩스,006880.KS,KOSPI,KRW,-
아세아시멘트,183190.KS,KOSPI,KRW,-
현대로템,064350.KS,KOSPI,KRW,-
한진칼,180640.KS,KOSPI,KRW,-
NHN,181710.KS,KOSPI,KRW,-
JB금융지주,175330.KS,KOSPI,KRW,-
DSR,155660.KS,KOSPI,KRW,-
동아에스티,170900.KS,KOSPI,KRW,-
지엠비코리아,013870.KS,KOSPI,KRW,-
LG헬로비전,037560.KS,KOSPI,KRW,-
동일고무벨트,163560.KS,KOSPI,KRW,-
한국콜마,161890.KS,KOSPI,KRW,-
한국타이어앤테크놀로지,161390.KS,KOSPI,KRW,-
애경케미칼,161000.KS,KOSPI,KRW,-
사조씨푸드,014710.KS,KOSPI,KRW,-
한국ANKOR유전,152550.KS,KOSPI,KRW,-
휴비스,079980.KS,KOSPI,KRW,-
케이탑리츠,145270.KS,KOSPI,KRW,-
GS리테일,007070.KS,KOSPI,KRW,-
인터지스,129260.KS,KOSPI,KRW,-
삼양사,145990.KS,KOSPI,KRW,-
하나투어,039130.KS,KOSPI,KRW,-
에이블씨엔씨,078520.KS,KOSPI,KRW,-
삼원강재,023000.KS,KOSPI,KRW,-
신세계인터내셔날,031430.KS,KOSPI,KRW,-
에이리츠,140910.KS,KOSPI,KRW,-
한국항공우주,047810.KS,KOSPI,KRW,-
롯데하이마트,071840.KS,KOSPI,KRW,-
한세엠케이,069640.KS,KOSPI,KRW,-
코오롱ENP,138490.KS,KOSPI,KRW,-
이마트,139480.KS,KOSPI,KRW,-
iM금융지주,139130.KS,KOSPI,KRW,-
케이티스카이라이프,053210.KS,KOSPI,KRW,-
메리츠금융지주,138040.KS,KOSPI,KRW,-
한국종합기술,023350.KS,KOSPI,KRW,-
BNK금융지주,138930.KS,KOSPI,KRW,-
롯데에너지머티리얼즈,020150.KS,KOSPI,KRW,-
현대위아,011210.KS,KOSPI,KRW,-
선진,136490.KS,KOSPI,KRW,-
미원화학,134380.KS,KOSPI,KRW,-
시디즈,134790.KS,KOSPI,KRW,-
한화엔진,082740.KS,KOSPI,KRW,-
대성에너지,117580.KS,KOSPI,KRW,-
현대퓨처넷,126560.KS,KOSPI,KRW,-
KTis,058860.KS,KOSPI,KRW,-
한전산업,130660.KS,KOSPI,KRW,-
엘브이엠씨,900140.KS,KOSPI,KRW,-
미스토홀딩스,081660.KS,KOSPI,KRW,-
KTcs,058850.KS,KOSPI,KRW,-
현대홈쇼핑,057050.KS,KOSPI,KRW,-
도화엔지니어링,002150.KS,KOSPI,KRW,-
대성산업,128820.KS,KOSPI,KRW,-
아이마켓코리아,122900.KS,KOSPI,KRW,-
한미약품,128940.KS,KOSPI,KRW,-
우진,105840.KS,KOSPI,KRW,-
무학,033920.KS,KOSPI,KRW,-
이연제약,102460.KS,KOSPI,KRW,-
한국화장품,123690.KS,KOSPI,KRW,-
에스제이엠,123700.KS,KOSPI,KRW,-
HL홀딩스,060980.KS,KOSPI,KRW,-
삼성생명,032830.KS,KOSPI,KRW,-
신세계푸드,031440.KS,KOSPI,KRW,-
한화생명,088350.KS,KOSPI,KRW,-
조선선재,120030.KS,KOSPI,KRW,-
코오롱인더,120110.KS,KOSPI,KRW,-
KC코트렐,119650.KS,KOSPI,KRW,-
지역난방공사,071320.KS,KOSPI,KRW,-
영흥,012160.KS,KOSPI,KRW,-
메타케어,118000.KS,KOSPI,KRW,-
한전기술,052690.KS,KOSPI,KRW,-
GKL,114090.KS,KOSPI,KRW,-
SK,034730.KS,KOSPI,KRW,-
황금에스티,032560.KS,KOSPI,KRW,-
하이트진로,000080.KS,KOSPI,KRW,-
동양생명,082640.KS,KOSPI,KRW,-
유니온머티리얼,047400.KS,KOSPI,KRW,-
형지엘리트,093240.KS,KOSPI,KRW,-
키움증권,039490.KS,KOSPI,KRW,-
영원무역,111770.KS,KOSPI,KRW,-
한미글로벌,053690.KS,KOSPI,KRW,-
동아지질,028100.KS,KOSPI,KRW,-
HD현대마린엔진,071970.KS,KOSPI,KRW,-
LX하우시스,108670.KS,KOSPI,KRW,-
한세실업,105630.KS,KOSPI,KRW,-
주성코퍼레이션,109070.KS,KOSPI,KRW,-
미원홀딩스,107590.KS,KOSPI,KRW,-
NAVER,035420.KS,KOSPI,KRW,-
부국철강,026940.KS,KOSPI,KRW,-
KB금융,105560.KS,KOSPI,KRW,-
한국철강,104700.KS,KOSPI,KRW,-
일진전기,103590.KS,KOSPI,KRW,-
풍산,103140.KS,KOSPI,KRW,-
LG이노텍,011070.KS,KOSPI,KRW,-
명문제약,017180.KS,KOSPI,KRW,-
비상교육,100220.KS,KOSPI,KRW,-
동성케미컬,102260.KS,KOSPI,KRW,-
LG유플러스,032640.KS,KOSPI,KRW,-
인바이오젠,101140.KS,KOSPI,KRW,-
아시아나항공,020560.KS,KOSPI,KRW,-
SNT에너지,100840.KS,KOSPI,KRW,-
진양홀딩스,100250.KS,KOSPI,KRW,-
엔케이,085310.KS,KOSPI,KRW,-
한전KPS,051600.KS,KOSPI,KRW,-
기신정기,092440.KS,KOSPI,KRW,-
KSS해운,044450.KS,KOSPI,KRW,-
효성 ITX,094280.KS,KOSPI,KRW,-
